registered,Recency,Frequency,Monetary
0,38,24,35
1,0,201,294
2,1,245,648
3,0,294,1154
4,3,307,1602
5,2,287,1840
6,6,266,1992
7,1,200,1787
8,0,190,1968
9,0,178,2057
10,4,133,1651
11,5,140,1927
12,7,90,1350
13,0,93,1487
14,1,101,1692
15,3,95,1692
16,6,92,1795
17,2,85,1751
18,2,80,1819
19,1,106,2433
20,5,95,2240
21,6,81,2084
22,3,105,2781
23,6,90,2551
24,4,83,2300
25,2,77,2317
26,5,83,2589
27,1,68,2151
28,39,73,2370
29,6,71,2416
30,0,75,2746
31,2,70,2540
32,1,63,2344
33,2,66,2629
34,6,65,2524
35,2,59,2382
36,5,57,2350
37,0,58,2560
38,2,54,2493
39,1,67,3073
40,0,59,2712
41,1,52,2641
42,1,51,2545
43,2,65,3358
44,29,48,2444
45,4,48,2593
46,6,56,3138
47,16,52,2883
48,0,68,3919
49,3,69,3936
50,40,58,3456
51,2,53,3291
52,6,50,3131
53,8,71,4475
54,3,53,3485
55,9,60,3967
56,2,48,3282
57,10,51,3383
58,45,49,3401
59,34,53,3680
60,20,47,3305
61,64,52,3700
62,7,52,3874
63,1,48,3564
64,2,70,5511
65,1,48,3840
66,37,48,4005
67,4,49,3864
68,6,52,4249
69,26,43,3474
70,22,48,4051
71,2,56,4842
72,29,54,4585
73,33,51,4596
74,37,43,3797
75,3,44,3896
76,10,49,4388
77,9,45,4518
78,47,44,4055
79,4,59,5651
80,4,58,5599
81,0,52,5265
82,7,50,5080
83,0,59,5857
84,12,43,4393
85,3,50,5511
86,1,60,6370
87,0,43,4466
88,2,64,6954
89,4,46,5153
90,2,45,4922
91,1,40,4428
92,15,50,5723
93,8,49,5983
94,4,52,6099
95,34,75,8873
96,37,48,6027
97,1,53,6380
98,8,52,6201
99,4,58,6916
100,2,53,6515
101,1,47,5746
102,1,59,7186
103,1,51,6647
104,7,67,8789
105,9,49,6170
106,4,48,6313
107,3,56,7413
108,0,61,7958
109,12,43,5922
110,2,53,7214
111,3,61,8537
112,0,60,8212
113,1,36,5033
114,0,58,8506
115,11,59,8267
116,19,56,7971
117,12,42,6262
118,8,48,7303
119,26,56,8117
120,1,50,7575
121,1,50,7485
122,25,42,6395
123,8,45,6908
124,9,44,6706
125,2,39,6355
126,19,55,8652
127,4,61,9916
128,9,50,7954
129,105,42,7097
130,9,57,9361
131,25,35,5734
132,33,44,7173
133,30,42,7156
134,16,53,8773
135,9,43,7039
136,28,43,7508
137,8,51,9157
138,11,41,7048
139,9,55,9544
140,70,35,6200
141,9,48,8787
142,20,54,9688
143,39,39,7228
144,0,54,9763
145,20,42,7608
146,3,45,8413
147,12,45,8197
148,10,49,9237
149,37,42,8082
150,0,56,10675
151,3,49,9331
152,61,40,7826
153,23,47,9405
154,39,42,8121
155,27,59,11614
156,60,59,11837
157,45,37,7464
158,29,45,8893
159,13,41,8262
160,41,30,6339
161,26,59,12081
162,13,48,9543
163,52,50,10580
164,12,43,8663
165,0,38,7633
166,103,40,8137
167,47,33,7262
168,11,54,11666
169,12,44,9453
170,30,50,10777
171,11,42,8997
172,0,33,7617
173,3,35,8134
174,32,36,7907
175,23,46,10591
176,52,53,12095
177,3,44,10149
178,16,50,11076
179,21,33,7668
180,17,39,8984
181,11,37,8988
182,28,31,7274
183,12,41,9674
184,0,43,10274
185,0,36,8607
186,19,43,10347
187,0,38,9399
188,4,44,10624
189,33,46,10835
190,21,34,8067
191,13,37,9351
192,14,41,10763
193,20,35,8914
194,14,31,7418
195,38,27,6670
196,14,35,9328
197,3,36,8804
198,40,35,8457
199,10,34,8320
200,18,29,7253
201,32,34,9129
202,53,37,9844
203,12,36,9603
204,24,28,6961
205,10,27,7106
206,4,39,10335
207,19,39,10020
208,3,30,8098
209,12,40,11207
210,22,28,7567
211,13,32,8392
212,23,33,9175
213,20,27,7523
214,10,36,10485
215,15,22,6588
216,11,37,10657
217,55,30,8607
218,13,38,10423
219,30,27,7771
220,19,38,10444
221,122,30,8770
222,25,38,10989
223,92,34,10001
224,21,33,10171
225,16,34,9884
226,20,36,10800
227,4,31,9146
228,3,39,11829
229,24,27,8138
230,18,34,11310
231,12,28,8210
232,16,32,9914
233,27,29,8321
234,10,25,7858
235,13,26,8240
236,10,19,5853
237,44,21,6430
238,3,26,8180
239,56,28,8830
240,18,31,9400
241,31,36,11027
242,67,28,8643
243,19,29,9926
244,17,34,11337
245,68,28,9142
246,0,25,7937
247,67,36,11749
248,15,26,7800
249,54,14,4629
250,16,15,4848
251,17,24,7506
252,17,33,10723
253,10,33,11226
254,103,23,7776
255,22,30,9881
256,51,31,10231
257,25,20,6810
258,33,25,8852
259,61,17,5471
260,15,30,10314
261,75,16,5814
262,31,27,8880
263,93,18,6194
264,13,22,7555
265,10,30,9753
266,101,18,6001
267,43,20,6756
268,23,20,7338
269,24,16,5695
270,30,30,10489
271,14,18,6346
272,19,14,5153
273,21,22,7701
274,16,18,6457
275,123,17,6440
276,35,21,7422
277,73,16,5522
278,52,21,7919
279,81,18,6723
280,49,16,5512
281,11,18,6350
282,48,17,6246
283,115,15,4971
284,28,22,8314
285,172,11,3538
286,32,17,5925
287,14,18,6405
288,73,24,9039
289,15,22,7975
290,47,11,4660
291,21,17,6454
292,15,23,8540
293,118,11,4108
294,84,14,4933
295,40,9,3494
296,132,17,6316
297,10,14,5079
298,41,20,7364
299,79,22,8342
300,18,15,5940
301,75,14,5312
302,17,21,7520
303,11,12,4621
304,52,11,4427
305,17,15,5633
306,45,12,4614
307,13,8,3684
308,21,15,5690
309,12,12,5384
310,19,16,6166
311,29,14,5566
312,49,17,6855
313,31,13,4713
314,14,17,7422
315,101,12,5073
316,33,19,7801
317,27,16,6624
318,30,15,6107
319,58,10,4269
320,40,20,7653
321,53,10,4063
322,20,5,2325
323,13,19,7958
324,50,13,5881
325,42,13,5211
326,32,12,4773
327,16,11,4595
328,16,12,4759
329,12,16,6812
330,17,16,7280
331,29,14,5786
332,52,15,6233
333,14,12,4440
334,13,13,5277
335,41,16,6838
336,24,6,2378
337,24,14,6288
338,34,14,6249
339,58,10,4622
340,115,12,5371
341,23,9,4284
342,50,14,7402
343,44,13,5625
344,48,9,3680
345,83,8,3029
346,11,17,7490
347,29,17,8063
348,51,15,6760
349,59,14,6179
350,15,12,5050
351,13,13,6156
352,16,14,5922
353,171,7,3079
354,26,15,6885
355,35,11,5194
356,18,12,5540
357,83,11,5437
358,29,15,6918
359,11,9,3785
360,12,9,4217
361,41,16,7314
362,26,14,6348
363,35,11,5027
364,16,7,3161
365,141,9,4390
366,19,11,5679
367,76,10,4415
368,16,16,7159
369,30,17,8177
370,65,7,3740
371,30,10,4781
372,17,12,6134
373,59,6,2839
374,23,12,5228
375,46,8,3826
376,72,8,3768
377,52,12,5270
378,23,14,6409
379,88,7,3155
380,18,8,3839
381,25,12,5346
382,70,6,2861
383,51,8,4460
384,19,11,5101
385,102,7,3140
386,30,9,4035
387,28,7,2870
388,65,12,6007
389,26,7,3250
390,50,5,2796
391,27,14,6466
392,227,4,1733
393,50,13,5846
394,143,7,3097
395,115,2,886
396,68,7,3076
397,28,14,6220
398,229,7,3097
399,23,15,7045
400,26,8,4435
401,65,6,3197
402,106,6,2877
403,33,6,2926
404,65,10,5400
405,47,8,4245
406,109,3,1368
407,67,4,1808
408,66,9,4557
409,21,8,3699
410,40,5,2517
411,41,7,3357
412,20,8,3949
413,81,5,2255
414,27,12,5667
415,84,11,5184
416,84,2,989
417,87,13,6190
418,126,7,3350
419,92,6,3359
420,50,4,2265
421,111,8,3918
422,336,3,1321
423,157,6,3040
424,50,3,1638
425,65,6,3039
426,199,8,3852
427,100,5,2649
428,265,6,2890
429,175,8,3895
430,24,5,2395
431,181,3,1436
432,17,9,4227
433,69,6,3307
434,73,6,3387
435,79,6,3287
436,72,8,4202
437,70,11,5597
438,160,5,2477
439,71,3,1655
440,165,4,1891
441,72,4,2188
442,237,7,3350
443,100,5,2678
444,28,6,2880
445,66,9,4851
446,18,4,2237
447,73,6,3208
448,54,5,2671
449,75,8,3883
450,11,6,3252
451,100,7,3668
452,151,5,2369
453,56,9,4641
454,106,5,2847
455,154,7,3462
456,93,5,2959
457,69,3,1547
458,113,8,4127
459,122,7,3477
460,100,5,2817
461,77,7,3539
462,181,6,3063
463,130,6,3172
464,10,6,3167
465,68,7,3531
466,514,2,1095
467,75,9,4680
468,101,4,2154
469,34,6,3158
470,91,6,3093
471,74,5,2524
472,166,7,3720
473,24,8,4492
474,82,8,4473
475,227,4,2133
476,591,1,517
477,55,2,992
478,14,9,4693
479,342,3,1579
480,118,9,4750
481,87,3,1629
483,45,10,5543
484,186,8,4400
485,577,2,1102
486,49,9,4893
487,214,5,2751
488,74,7,3871
489,31,9,4698
490,49,5,2718
491,53,6,3577
492,153,7,3840
493,14,4,2190
494,34,2,1009
495,27,6,3188
496,99,4,2478
497,67,5,2742
498,82,6,3205
499,126,3,1703
500,132,4,2185
501,54,4,2143
502,35,4,2259
503,168,3,1710
504,89,4,2113
505,76,3,1613
506,68,5,2770
507,18,4,2297
508,189,4,2154
509,151,5,2891
510,113,5,3025
511,95,3,1721
512,13,4,2285
513,98,4,2283
514,34,9,4922
515,19,4,2298
516,256,5,2831
517,308,4,2303
518,234,2,1155
519,69,2,1152
520,32,1,537
521,594,1,604
522,68,3,1723
523,20,7,4079
524,131,4,2386
525,138,4,2448
526,99,1,776
527,264,5,2980
529,103,4,2411
530,33,3,1723
531,124,4,2293
532,123,5,3079
533,13,5,2928
534,41,7,4089
535,193,1,615
536,12,2,1155
537,130,4,2397
538,244,1,557
539,24,7,4027
540,19,7,4085
541,46,1,563
542,25,4,2449
543,47,4,2375
544,21,3,1718
545,298,2,1187
546,12,4,2275
547,241,3,1817
548,182,2,1239
549,109,5,2961
551,31,5,2987
552,143,1,640
553,41,3,1804
554,210,3,1823
555,189,3,1839
556,53,2,1176
557,110,3,1864
558,137,2,1345
559,42,1,580
560,173,2,1287
561,136,2,1279
562,112,2,1273
563,46,3,1742
564,47,5,3160
565,249,2,1246
566,80,1,642
567,145,4,2471
568,55,1,588
570,223,2,1259
571,91,2,1206
572,111,2,1289
573,150,2,1256
575,21,4,2473
576,26,3,1952
577,186,3,1865
578,21,2,1221
579,234,3,1810
580,20,5,3126
581,59,2,1233
582,14,3,1912
583,54,1,601
584,66,3,1948
585,11,1,599
586,25,3,1882
588,216,1,634
589,96,3,1967
591,139,2,1290
592,131,1,683
593,52,2,1484
594,109,3,1980
595,196,2,1259
596,202,2,1309
597,55,2,1324
598,117,5,3304
599,251,2,1275
600,194,1,643
601,259,2,1441
602,238,2,1303
603,230,2,1308
604,56,3,1908
605,228,2,1275
608,238,2,1266
609,94,2,1320
610,270,1,638
611,194,2,1355
613,203,2,1353
614,293,1,676
615,61,5,3341
616,244,2,1410
617,118,4,2669
618,133,3,2014
619,143,3,2088
620,164,3,2140
621,262,1,738
622,116,2,1302
623,17,2,1348
624,166,1,679
625,46,5,3309
626,265,1,704
627,129,2,1515
628,60,5,3424
629,35,3,1991
631,258,1,673
632,216,1,710
633,195,1,673
634,186,5,3581
636,150,1,668
637,208,1,668
638,187,2,1421
639,90,2,1345
640,104,4,2799
641,237,1,710
642,138,6,4267
643,210,1,665
644,173,1,674
645,271,1,744
646,25,3,2159
647,105,3,2223
648,140,3,2151
649,41,4,2737
650,42,1,663
651,256,1,677
652,13,5,3434
653,172,2,1386
654,122,2,1491
655,18,2,1440
656,59,3,2241
658,182,1,730
659,221,2,1421
660,171,1,713
661,207,3,2251
662,81,3,2193
663,206,2,1448
664,32,4,2807
665,12,5,3667
666,28,1,692
667,238,1,769
668,52,4,2766
669,168,2,1478
670,19,6,4318
672,161,2,1454
673,258,1,781
674,94,2,1486
675,167,3,2157
677,90,4,3092
678,165,2,1569
679,206,2,1583
680,158,2,1439
681,151,3,2287
682,200,1,719
683,33,1,692
684,61,3,2272
688,208,2,1594
689,145,1,737
690,115,1,719
691,161,2,1529
692,66,3,2350
693,27,3,2500
694,45,2,1454
695,129,1,812
696,70,3,2196
697,112,5,3970
698,83,2,1536
699,101,2,1615
700,27,3,2249
701,123,1,754
702,111,1,750
703,129,3,2297
704,172,2,1590
706,80,1,837
707,94,1,808
708,20,2,1498
709,31,4,3146
711,80,4,3080
712,28,2,1503
713,77,1,737
714,66,1,734
715,108,2,1566
716,140,3,2426
718,151,1,739
719,98,5,4052
720,74,2,1539
723,137,1,832
725,109,2,1569
726,70,5,4009
727,110,1,770
730,153,2,1603
732,67,1,809
733,69,4,3212
734,139,3,2517
735,154,2,1626
736,125,1,818
737,26,2,1586
739,101,2,1671
740,105,2,1672
741,116,2,1657
742,87,2,1727
743,146,2,1711
744,91,5,4205
745,118,3,2489
746,67,5,4079
749,87,4,3301
750,200,1,867
751,123,3,2536
756,89,2,1649
757,108,4,3420
758,83,5,4113
760,161,1,847
761,116,1,835
762,69,2,1696
764,97,2,1655
765,154,1,827
766,75,1,888
767,76,4,3489
768,138,1,848
769,174,2,1745
770,243,1,813
773,81,1,798
774,67,3,2544
775,151,2,1734
777,68,1,801
778,207,1,869
779,75,1,817
780,117,2,1671
781,89,2,1709
782,201,1,857
783,159,1,913
786,132,2,1769
787,82,3,2619
788,74,1,890
789,88,1,901
790,175,1,872
791,91,1,856
794,75,1,884
795,68,1,858
796,188,1,900
800,76,1,835
802,111,1,970
803,74,1,834
806,82,1,839
